species,fields_2008,residential_2008,fields_2009,residential_2009,fields_2010,residential_2010,fields_2011,residential_2011,
Apodemus agrarius,322/19,0/0,351/34,0/0,209/11,0/0,227/14,0/0,
Crocidura attenuata,0/0,0/0,3/0,0/0,0/0,0/0,0/0,0/0,
Microtus fortis,135/1,0/0,114/4,0/0,91/0,0/0,142/0,0/0,
Mogera robusta,0/0,0/0,2/0,0/0,0/0,0/0,0/0,0/0,
Mus musculus,0/0,18/0,0/0,12/0,1/0,3/0,0/0,6/0,
Neomys fodiens,0/0,0/0,1/0,0/0,1/0,0/0,0/0,0/0,
Niviventer confucianus,0/0,0/0,4/0,0/0,4/0,0/0,1/0,0/0,
N. fulvescens,0/0,0/0,1/0,0/0,0/0,0/0,4/0,0/0,
Rattus flavipectus,157/0,0/0,0/0,1/0,0/0,0/0,0/0,43/3,
R. losea,0/0,0/0,211/0,0/0,72/0,0/0,142/0,0/0,
R. nitidus,0/0,0/0,0/0,0/0,0/0,0/0,1/0,0/0,
R. norvegicus,13/0,59/4,3/0,46/5,3/0,9/0,4/0,235/23,
Sciurus igniventris,0/0,0/0,0/0,0/0,0/0,0/0,1/0,0/0,
,,,,,,,,,