virus,clean_name,taxonomic_level,virus_1,virus_2,virus_3,virus_4,virus_5,virus_6,virus_7,virus_8,virus_9,virus_10,virus_11
1 Guanarito virus/1 Pirital virus,Mammarenavirus,genus,Guanarito virus,Pirital virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
AMRV (Amur Virus),Orthohantavirus hantanense,species,Amur virus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANDV,Orthohantavirus andesense,species,Orthohantavirus andesense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANDV/SNV,Orthohantavirus,genus,Orthohantavirus andesense,Orthohantavirus sinnombrense,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adler virus,Orthohantavirus tulaense,species,Adler hantavirus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Allpahuayo Virus,Mammarenavirus allpahuayoense,species,Mammarenavirus allpahuayoense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Altai orthohantavirus,Altai virus,species,Altai orthohantavirus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alto Paraguay Strain SNV,Alto Paraguay hantavirus,species,Alto Paraguay hantavirus,Orthohantavirus sinnombrense,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amga orthohantvirus,Amga orthohantavirus,species,Amga orthohantavirus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amga virus,Amga orthohantavirus,species,Amga orthohantavirus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amur virus,Orthohantavirus hantanense,species,Amur virus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andes Virus,Orthohantavirus andesense,species,Orthohantavirus andesense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andes hantavirus,Orthohantavirus andesense,species,Orthohantavirus andesense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andes orthohantavirus,Orthohantavirus andesense,species,Orthohantavirus andesense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andes virus,Orthohantavirus andesense,species,Orthohantavirus andesense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andes/SNV,Orthohantavirus,genus,Orthohantavirus andesense,Orthohantavirus sinnombrense,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anjozorobe virus,Orthohantavirus thailandense,species,Orthohantavirus thailandense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anjozorobe†virus,Orthohantavirus thailandense,species,Orthohantavirus thailandense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ape Aime-Itapua Strain SNV,Ape Aime-Itapua virus,species,Ape Aime-Itapua virus,Orthohantavirus sinnombrense,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ape Aime-Itapua virus,Ape Aime-Itapua virus,species,Ape Aime-Itapua virus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Apore Virus,Mammarenavirus aporeense,species,Mammarenavirus aporeense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Araraquara Virus,Araraquara virus,species,Araraquara virus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Araraquara hantavirus,Araraquara virus,species,Araraquara virus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Araraquara virus,Araraquara virus,species,Araraquara virus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Araucaria Virus,Araucaria virus,species,Araucaria virus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arenaviridae,Arenaviridae,family,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Asama Virus,Orthohantavirus asamaense,species,Orthohantavirus asamaense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Asama virus,Orthohantavirus asamaense,species,Orthohantavirus asamaense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Asikkala virus,Orthohantavirus asikkalaense,species,Orthohantavirus asikkalaense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Azagny virus,Azagny†virus,species,Azagny†virus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Azagny†virus,Azagny†virus,species,Azagny†virus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BAYV,Orthohantavirus bayoui,species,Orthohantavirus bayoui,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BCC,Orthohantavirus nigrorivense,species,Orthohantavirus nigrorivense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BOWV,Orthohantavirus boweense,species,Orthohantavirus boweense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Baltimore Rat strain/Seoul Virus Strain,Orthohantavirus seoulense,species,Orthohantavirus seoulense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bartonella birtlesii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bartonella doshiae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bartonella grahamii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bartonella taylorii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bayou Virus,Orthohantavirus bayoui,species,Orthohantavirus bayoui,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bayou orthohantavirus,Orthohantavirus bayoui,species,Orthohantavirus bayoui,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Berega mammarenavirus,Berega mammarenavirus,species,Berega mammarenavirus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bermejo virus,Bermejo virus,species,Bermejo virus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bermejo-Neembucu Strain SNV,Bermejo virus,species,Bermejo virus,Orthohantavirus sinnombrense,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bitu virus,Mammarenavirus bituense,species,Mammarenavirus bituense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Black Canal Creek Virus,Orthohantavirus nigrorivense,species,Orthohantavirus nigrorivense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blue River virus,Blue River virus,species,Blue River virus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boginia virus,Boginia virus,species,Boginia virus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Borrelia afzelii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Borrelia garinii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CADV,Orthohantavirus delgaditoense,species,Orthohantavirus delgaditoense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CADV/MAPV,Orthohantavirus,genus,Orthohantavirus delgaditoense,Orthohantavirus maporalense,NA,NA,NA,NA,NA,NA,NA,NA,NA
CASV,CASV,species,CASV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CPXV,Cowpox virus,species,Cowpox virus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CTNV,Catarina virus,species,Catarina virus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Calabazo virus,Calabazo virus,species,Calabazo virus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Catarina Virus,Catarina virus,species,Catarina virus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Catarina virus,Catarina virus,species,Catarina virus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chapare mammarenavirus,Mammarenavirus chapareense,species,Mammarenavirus chapareense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Choclo virus,Orthohantavirus chocloense,species,Orthohantavirus chocloense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ciao Bang Virus,Orthohantavirus caobangense,species,Orthohantavirus caobangense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Convict Creek Virus,Orthohantavirus sinnombrense,species,Orthohantavirus sinnombrense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DBSV,Orthohantavirus dabieshanense,species,Orthohantavirus dabieshanense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DOBV,Orthohantavirus dobravaense,species,Orthohantavirus dobravaense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DOBV/PUUV,Orthohantavirus,genus,Orthohantavirus dobravaense,Orthohantavirus puumalaense,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dabieshan virus,Orthohantavirus dabieshanense,species,Orthohantavirus dabieshanense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dahonggou Creek virus,Dahonggou Creek virus,species,Dahonggou Creek virus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dobrava Virus,Orthohantavirus dobravaense,species,Orthohantavirus dobravaense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dobrava-Belgrade orthohantavirus,Orthohantavirus dobravaense,species,Orthohantavirus dobravaense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dobrova hantavirus,Orthohantavirus dobravaense,species,Orthohantavirus dobravaense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dobrova orthohantavirus,Orthohantavirus dobravaense,species,Orthohantavirus dobravaense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dobrova-Belgrade orthohantavirus,Orthohantavirus dobravaense,species,Orthohantavirus dobravaense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dubrova-Belgrade orthohantavirus,Orthohantavirus dobravaense,species,Orthohantavirus dobravaense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ELMCV,Orthohantavirus moroense,species,Orthohantavirus moroense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Easter/Western Hauntaviruse Serotypes,Orthohantavirus,genus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
El Choclo virus,Orthohantavirus chocloense,species,Orthohantavirus chocloense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
El Moro Canyon Virus/SNV Antigen,Orthohantavirus,genus,Orthohantavirus moroense,Orthohantavirus sinnombrense,NA,NA,NA,NA,NA,NA,NA,NA,NA
Four Corners Virus (SNV),Orthohantavirus sinnombrense,species,Orthohantavirus sinnombrense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fugong virus,Orthohantavirus fugongense,species,Orthohantavirus fugongense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gairo virus,Mammarenavirus gairoense,species,Mammarenavirus gairoense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gou Virus,Gou virus,species,Gou virus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Guanarito mammarenavirus,Mammarenavirus guanaritoense,species,Mammarenavirus guanaritoense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Guanarito virus,Mammarenavirus guanaritoense,species,Mammarenavirus guanaritoense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Guanarito/Pichinde Virus,Mammarenavirus,genus,Mammarenavirus guanaritoense,Mammarenavirus caliense,NA,NA,NA,NA,NA,NA,NA,NA,NA
HNTV,Orthohantavirus hantanense,species,Orthohantavirus hantanense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HNTV/PUUV,Orthohantavirus,genus,Orthohantavirus hantanense,Orthohantavirus puumalaense,NA,NA,NA,NA,NA,NA,NA,NA,NA
HNTV/SEOV/DBSV,Orthohantavirus,genus,Orthohantavirus hantanense,Orthohantavirus seoulense,Orthohantavirus dabieshanense,NA,NA,NA,NA,NA,NA,NA,NA
HOKV,Hokkaido virus,species,Hokkaido virus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HTNV,Orthohantavirus hantanense,species,Orthohantavirus hantanense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HTNV spp.,Orthohantavirus hantanense,species,Orthohantavirus hantanense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HTNV, SEOV",Orthohantavirus,genus,Orthohantavirus hantanense,Orthohantavirus seoulense,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HTNV, SNV, PUUV, DOBV, SEOV, SAAV",Orthohantavirus,genus,Orthohantavirus hantanense,Orthohantavirus sinnombrense,Orthohantavirus puumalaense,Orthohantavirus dobravaense,Orthohantavirus seoulense,Kurkino virus,NA,NA,NA,NA,NA
HTNV/PUUV/DOBV,Orthohantavirus,genus,Orthohantavirus hantanense,Orthohantavirus puumalaense,Orthohantavirus dobravaense,NA,NA,NA,NA,NA,NA,NA,NA
HTNV/SEO/PUUV,Orthohantavirus,genus,Orthohantavirus hantanense,Orthohantavirus seoulense,Orthohantavirus puumalaense,NA,NA,NA,NA,NA,NA,NA,NA
HTNV/SEOV,Orthohantavirus,genus,Orthohantavirus hantanense,Orthohantavirus seoulense,NA,NA,NA,NA,NA,NA,NA,NA,NA
HTNV/SEOV/DOBV/SNV,Orthohantavirus,genus,Orthohantavirus hantanense,Orthohantavirus seoulense,Orthohantavirus dobravaense,Orthohantavirus sinnombrense,NA,NA,NA,NA,NA,NA,NA
HTNV/SEOV/Eothenomys miletus hantavirus LX309,Orthohantavirus,genus,Orthohantavirus hantanense,Orthohantavirus seoulense,Orthohantavirus luxiense,NA,NA,NA,NA,NA,NA,NA,NA
HTNV/SEOV/Eothenomys miletus hantavirus LX310,Orthohantavirus,genus,Orthohantavirus hantanense,Orthohantavirus seoulense,Orthohantavirus luxiense,NA,NA,NA,NA,NA,NA,NA,NA
HTNV/SEOV/Eothenomys miletus hantavirus LX311,Orthohantavirus,genus,Orthohantavirus hantanense,Orthohantavirus seoulense,Orthohantavirus luxiense,NA,NA,NA,NA,NA,NA,NA,NA
HTNV/SEOV/Eothenomys miletus hantavirus LX312,Orthohantavirus,genus,Orthohantavirus hantanense,Orthohantavirus seoulense,Orthohantavirus luxiense,NA,NA,NA,NA,NA,NA,NA,NA
HTNV/SEOV/Eothenomys miletus hantavirus LX313,Orthohantavirus,genus,Orthohantavirus hantanense,Orthohantavirus seoulense,Orthohantavirus luxiense,NA,NA,NA,NA,NA,NA,NA,NA
HTNV/SEOV/Eothenomys miletus hantavirus LX314,Orthohantavirus,genus,Orthohantavirus hantanense,Orthohantavirus seoulense,Orthohantavirus luxiense,NA,NA,NA,NA,NA,NA,NA,NA
HTNV/SEOV/Eothenomys miletus hantavirus LX315,Orthohantavirus,genus,Orthohantavirus hantanense,Orthohantavirus seoulense,Orthohantavirus luxiense,NA,NA,NA,NA,NA,NA,NA,NA
HTNV/SEOV/Eothenomys miletus hantavirus LX316,Orthohantavirus,genus,Orthohantavirus hantanense,Orthohantavirus seoulense,Orthohantavirus luxiense,NA,NA,NA,NA,NA,NA,NA,NA
HTNV/SEOV/Eothenomys miletus hantavirus LX317,Orthohantavirus,genus,Orthohantavirus hantanense,Orthohantavirus seoulense,Orthohantavirus luxiense,NA,NA,NA,NA,NA,NA,NA,NA
HTNV/SEOV/Eothenomys miletus hantavirus LX318,Orthohantavirus,genus,Orthohantavirus hantanense,Orthohantavirus seoulense,Orthohantavirus luxiense,NA,NA,NA,NA,NA,NA,NA,NA
HTNV/SEOV/Eothenomys miletus hantavirus LX319,Orthohantavirus,genus,Orthohantavirus hantanense,Orthohantavirus seoulense,Orthohantavirus luxiense,NA,NA,NA,NA,NA,NA,NA,NA
HTNV/SEOV/Eothenomys miletus hantavirus LX320,Orthohantavirus,genus,Orthohantavirus hantanense,Orthohantavirus seoulense,Orthohantavirus luxiense,NA,NA,NA,NA,NA,NA,NA,NA
HTNV/SEOV/PUUV,Orthohantavirus,genus,Orthohantavirus hantanense,Orthohantavirus seoulense,Orthohantavirus puumalaense,NA,NA,NA,NA,NA,NA,NA,NA
Hainan Medical University Virus,Mammarenavirus wenzhouense,species,Mammarenavirus wenzhouense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hantaan,Orthohantavirus hantanense,species,Orthohantavirus hantanense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hantaan Virus,Orthohantavirus hantanense,species,Orthohantavirus hantanense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hantaan orthohantavirus,Orthohantavirus hantanense,species,Orthohantavirus hantanense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hantaan orthohantavirus (VN3973M589),Orthohantavirus hantanense,species,Orthohantavirus hantanense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hantaan orthohantavirus (VN4004M620),Orthohantavirus hantanense,species,Orthohantavirus hantanense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hantaan orthohantavirus Da Bie Shan strain,Orthohantavirus hantanense,species,Orthohantavirus hantanense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hantaan virus,Orthohantavirus hantanense,species,Orthohantavirus hantanense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hantaviridae,Hantaviridae,family,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hantavirus,Orthohantavirus,genus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hantavirus Antigen,Orthohantavirus,genus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hantavirus Oln6469,Orthohantavirus,genus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hantavirus Oln6470,Orthohantavirus,genus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hokkaido Virus,Hokkaido virus,species,Hokkaido virus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
