virus,clean_name,taxonomic_level,virus_1,virus_2,virus_3,virus_4,virus_5,virus_6,virus_7,virus_8,virus_9,virus_10,virus_11
Imjin virus,Thottimvirus imjinense,species,Thottimvirus imjinense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Isla Vista Virus,Isla Vista hantavirus,species,Isla Vista hantavirus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Isla Vista virus,Isla Vista hantavirus,species,Isla Vista hantavirus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Itapua Strain SNV,Itapua hantavirus,species,Itapua hantavirus,Orthohantavirus sinnombrense,NA,NA,NA,NA,NA,NA,NA,NA,NA
JABV,Jabora virus,species,Jabora virus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JMSV/AARV,Orthohantavirus,genus,Jemez Springs virus,Ash River virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
JUNV,Mammarenavirus juninense,species,Mammarenavirus juninense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JUQV,Juquitiba virus,species,Juquitiba virus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jabora Virus,Jabora virus,species,Jabora virus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jabora virus,Jabora virus,species,Jabora virus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jabora/Juquitiba virus,Orthohantavirus,genus,Jabora virus,Juquitiba virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jabor√° hantavirus,Jabora virus,species,Jabora virus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jeju Orthohantavirus,Orthohantavirus jejuense,species,Orthohantavirus jejuense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jilin-AP06 Virus,Orthohantavirus hantanense,species,Amur virus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Junin Virus,Mammarenavirus juninense,species,Mammarenavirus juninense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Junin arenavirus,Mammarenavirus juninense,species,Mammarenavirus juninense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Junin mammarenavirus,Mammarenavirus juninense,species,Mammarenavirus juninense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Junin virus,Mammarenavirus juninense,species,Mammarenavirus juninense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Juquitiba Virus,Juquitiba virus,species,Juquitiba virus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Juquitiba virus,Juquitiba virus,species,Juquitiba virus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Juquitibia Virus,Juquitiba virus,species,Juquitiba virus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Juquitibia Virus/Araraquara Virus,Orthohantavirus,genus,Juquitiba virus,Araraquara virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jurong Virus,Orthohantavirus,genus,Hantavirus Jurong,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KKMV,Kurkino virus,species,Kurkino virus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kielder orthohantavirus,Kielder hantavirus,species,Kielder hantavirus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kitale virus,Mammarenavirus kitaleense,species,Mammarenavirus kitaleense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kodoko virus,Kodoko virus,species,Kodoko virus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Korean Haemorrhagic Fever Virus/HTNV,Orthohantavirus hantanense,species,Orthohantavirus hantanense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kurkino,Kurkino virus,species,Kurkino virus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kurkino virus,Kurkino virus,species,Kurkino virus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kwanza virus,Mammarenavirus kwanzaense,species,Mammarenavirus kwanzaense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LASV,Mammarenavirus lassaense,species,Mammarenavirus lassaense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LASV/Gbagroube virus/Menekre virus/Mopeia virus/Mobala virus/Ippy virus/Merino walk virus/LCMV/Kodoko virus/Lujo virus/Mafiga mammarenavirus,Mammarenavirus,genus,Mammarenavirus lassaense,Gbagroube virus,Menekre virus,Mammarenavirus mopeiaense,Mammarenavirus praomyidis,Mammarenavirus ippyense,Mammarenavirus merinoense,Mammarenavirus choriomeningitidis,Kodoko virus,Mammarenavirus lujoense,Mafiga mammarenavirus
LASV/Mozambique virus/LCMV,Mammarenavirus,genus,Mammarenavirus lassaense,Mammarenavirus mopeiaense,Mammarenavirus choriomeningitidis,NA,NA,NA,NA,NA,NA,NA,NA
LCMV,Mammarenavirus choriomeningitidis,species,Mammarenavirus choriomeningitidis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LCMV, Pachinde virus, Tacaribe virus, LASV, Ippy virus, Mobala virus, Mopeia virus",Mammarenavirus,genus,Mammarenavirus choriomeningitidis,Pichinde virus,Mammarenavirus tacaribeense,Mammarenavirus lassaense,Mammarenavirus ippyense,Mammarenavirus praomyidis,Mammarenavirus mopeiaense,NA,NA,NA,NA
LCMV/Junin/Tamiami,Mammarenavirus,genus,Mammarenavirus choriomeningitidis,Mammarenavirus juninense,Mammarenavirus tamiamiense,NA,NA,NA,NA,NA,NA,NA,NA
LECV,Lechiguanas virus,species,Lechiguanas virus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LSCV,Limestone Canyon virus,species,Limestone Canyon virus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Laguna Negra Virus,Orthohantavirus negraense,species,Orthohantavirus negraense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Laguna Negra virus,Orthohantavirus negraense,species,Orthohantavirus negraense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Laguna Negra virus.,Orthohantavirus negraense,species,Orthohantavirus negraense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lassa Virus,Mammarenavirus lassaense,species,Mammarenavirus lassaense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lassa mammarenaviridae,Mammarenavirus lassaense,species,Mammarenavirus lassaense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lassa mammarenavirus,Mammarenavirus lassaense,species,Mammarenavirus lassaense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lassavirus,Mammarenavirus lassaense,species,Mammarenavirus lassaense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Latino mammarenavirus,Mammarenavirus latinum,species,Mammarenavirus latinum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lechiguanas Virus,Lechiguanas virus,species,Lechiguanas virus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leptospira spp.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leptospriosa interrogans,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Limestone Canyon Virus,Limestone Canyon virus,species,Limestone Canyon virus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Limestone Canyon virus,Limestone Canyon virus,species,Limestone Canyon virus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ljungan virus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lohja virus,Lohja virus,species,Lohja virus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luna Virus,Mammarenavirus lunaense,species,Mammarenavirus lunaense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luna virus,Mammarenavirus lunaense,species,Mammarenavirus lunaense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lunk virus,Mammarenavirus lunkense,species,Mammarenavirus lunkense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lymphocytic choriomeningitis mammarenavirus,Mammarenavirus choriomeningitidis,species,Mammarenavirus choriomeningitidis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lymphocytic choriomeningitis virus,Mammarenavirus choriomeningitidis,species,Mammarenavirus choriomeningitidis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MJNV,Thottimvirus imjinense,species,Thottimvirus imjinense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MOPV,Mammarenavirus mopeiaense,species,Mammarenavirus mopeiaense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MPRV,Middle Pease River virus,species,Middle Pease River virus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Maciel hantavirus,Maciel virus,species,Maciel virus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Maciel virus,Maciel virus,species,Maciel virus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Malacky Virus,Malacky virus,species,Malacky virus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mammarenaviridae,Mammarenavirus,genus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mammarenavirus bearense,Mammarenavirus bearense,species,Mammarenavirus bearense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mammarenavirus lunaense,Mammarenavirus lunaense,species,Mammarenavirus lunaense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mammarenavirus lunkense,Mammarenavirus lunkense,species,Mammarenavirus lunkense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mammarenavirus marientalense,Mammarenavirus marientalense,species,Mammarenavirus marientalense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mammarenavirus mopeiaense,Mammarenavirus mopeiaense,species,Mammarenavirus mopeiaense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mammarenavirus piritalense,Mammarenavirus piritalense,species,Mammarenavirus piritalense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mammarenavirus wenzhouense,Mammarenavirus piritalense,species,Mammarenavirus piritalense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mammarenvirus,Mammarenavirus,genus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Maporal virus,Orthohantavirus maporalense,species,Orthohantavirus maporalense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mariental Virus/ Okahandja Virus,Mammarenavirus,genus,Mammarenavirus marientalense,Mammarenavirus okahandjaense,NA,NA,NA,NA,NA,NA,NA,NA,NA
Maripa virus,Maripa virus,species,Maripa virus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mayotte virus,Mayotte virus,species,Mayotte virus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Merino Walk Virus,Mammarenavirus merinoense,species,Mammarenavirus merinoense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Miletus Virus,Orthohantavirus luxiense,species,Orthohantavirus luxiense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mobola virus,Mammarenavirus,genus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mobola-like,Mammarenavirus,genus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Monongahela Virus,Monongahela hantavirus,species,Monongahela hantavirus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mopei mammarenavirus,Mammarenavirus mopeiaense,species,Mammarenavirus mopeiaense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mopeia Virus,Mammarenavirus mopeiaense,species,Mammarenavirus mopeiaense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mopeia mammarenavirus,Mammarenavirus mopeiaense,species,Mammarenavirus mopeiaense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Morogoro arenavirus,Morogoro mammarenavirus,species,Morogoro mammarenavirus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Morogoro virus,Morogoro mammarenavirus,species,Morogoro mammarenavirus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Muju Virus,Muju virus,species,Muju virus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Muju virus,Muju virus,species,Muju virus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Muleshoe Virus,Muleshoe hantavirus,species,Muleshoe hantavirus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Necocli virus,Orthohantavirus necocliense,species,Orthohantavirus necocliense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New York Virus,New York hantavirus,species,New York hantavirus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ngerengere mammarenavirus,Ngerengere mammarenavirus,species,Ngerengere mammarenavirus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
North American arenavirus,Mammarenavirus whitewaterense,species,Mammarenavirus whitewaterense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nova Virus (NVAV),Mobatvirus novaense,species,Mobatvirus novaense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oliveros Virus,Mammarenavirus oliverosense,species,Mammarenavirus oliverosense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oran virus,Oran virus,species,Oran virus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Orthohantavirus,Orthohantavirus,genus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Orthohantavirus,Orthohantavirus,genus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Orthohantavirus andasense (Lechiguanas),Lechiguanas virus,species,Lechiguanas virus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Orthohantavirus andasense (Pergamino),Pergamino virus,species,Pergamino virus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Orthohantavirus andesense,Orthohantavirus andesense,species,Orthohantavirus andesense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Orthohantavirus asikkalaense,Orthohantavirus asikkalaense,species,Orthohantavirus asikkalaense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Orthohantavirus bayoui,Orthohantavirus bayoui,species,Orthohantavirus bayoui,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Orthohantavirus delgaditoense,Orthohantavirus delgaditoense,species,Orthohantavirus delgaditoense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Orthohantavirus dobravaense,Orthohantavirus dobravaense,species,Orthohantavirus dobravaense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Orthohantavirus hantanense,Orthohantavirus hantanense,species,Orthohantavirus hantanense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Orthohantavirus kenkemeense,Orthohantavirus kenkemeense,species,Orthohantavirus kenkemeense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Orthohantavirus khabarovskense,Orthohantavirus khabarovskense,species,Orthohantavirus khabarovskense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Orthohantavirus moroense,Orthohantavirus moroense,species,Orthohantavirus moroense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Orthohantavirus negraense,Orthohantavirus negraense,species,Orthohantavirus negraense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Orthohantavirus puumalaense,Orthohantavirus puumalaense,species,Orthohantavirus puumalaense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Orthohantavirus rockportense,Orthohantavirus rockportense,species,Orthohantavirus rockportense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Orthohantavirus sangassouense,Orthohantavirus sangassouense,species,Orthohantavirus sangassouense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Orthohantavirus seewisense,Orthohantavirus seewisense,species,Orthohantavirus seewisense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Orthohantavirus seoulense,Orthohantavirus seoulense,species,Orthohantavirus seoulense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Orthohantavirus sinnombrense,Orthohantavirus sinnombrense,species,Orthohantavirus sinnombrense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Orthohantavirus tatenalense,Orthohantavirus tatenalense,species,Orthohantavirus tatenalense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Orthohantavirus tigrayense,Orthohantavirus tigrayense,species,Orthohantavirus tigrayense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Orthohantavirus tulaense,Orthohantavirus tulaense,species,Orthohantavirus tulaense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oxbow Hantavirus,Orthohantavirus oxbowense,species,Orthohantavirus oxbowense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PUUV,Orthohantavirus puumalaense,species,Orthohantavirus puumalaense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PUUV (BAWA strain),Orthohantavirus puumalaense,species,Orthohantavirus puumalaense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PUUV (SOT strain),Orthohantavirus puumalaense,species,Orthohantavirus puumalaense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PUUV (VRA strain),Orthohantavirus puumalaense,species,Orthohantavirus puumalaense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PUUV+SEOV,Orthohantavirus,genus,Orthohantavirus puumalaense,Orthohantavirus seoulense,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PUUV, TULV, SNV, ANDV",Orthohantavirus,genus,Orthohantavirus puumalaense,Orthohantavirus tulaense,Orthohantavirus sinnombrense,Orthohantavirus andesense,NA,NA,NA,NA,NA,NA,NA
