virus,clean_name,taxonomic_level,virus_1,virus_2,virus_3,virus_4,virus_5,virus_6,virus_7,virus_8,virus_9,virus_10,virus_11
PUUV/DOBV,Orthohantavirus,genus,Orthohantavirus puumalaense,Orthohantavirus dobravaense,NA,NA,NA,NA,NA,NA,NA,NA,NA
PUUV/HTNV,Orthohantavirus,genus,Orthohantavirus puumalaense,Orthohantavirus hantanense,NA,NA,NA,NA,NA,NA,NA,NA,NA
PUUV/SAAV,Orthohantavirus,genus,Orthohantavirus puumalaense,Kurkino virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
PUUV/SNV,Orthohantavirus,genus,Orthohantavirus puumalaense,Orthohantavirus sinnombrense,NA,NA,NA,NA,NA,NA,NA,NA,NA
PUUV/TULV,Orthohantavirus,genus,Orthohantavirus puumalaense,Orthohantavirus tulaense,NA,NA,NA,NA,NA,NA,NA,NA,NA
Patawa virus,Patawa virus,species,Patawa virus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pergamino Virus,Pergamino virus,species,Pergamino virus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pergamino virus,Pergamino virus,species,Pergamino virus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pinhal virus,Pinhal virus,species,Pinhal virus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pirital virus,Pirital virus,species,Pirital virus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Poliovirus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Prospect Hill Virus,Orthohantavirus prospectense,species,Orthohantavirus prospectense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Prospect Hill Virus (PHV,Orthohantavirus prospectense,species,Orthohantavirus prospectense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Puumala,Orthohantavirus puumalaense,species,Orthohantavirus puumalaense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Puumala (PUUV),Orthohantavirus puumalaense,species,Orthohantavirus puumalaense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Puumala Virus,Orthohantavirus puumalaense,species,Orthohantavirus puumalaense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Puumala hantavirus,Orthohantavirus puumalaense,species,Orthohantavirus puumalaense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Puumala orthohantavirus,Orthohantavirus puumalaense,species,Orthohantavirus puumalaense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Puumala orthohantavirus (JA3011KTF49),Orthohantavirus puumalaense,species,Orthohantavirus puumalaense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Puumala orthohantavirus (JA3028KTF66),Orthohantavirus puumalaense,species,Orthohantavirus puumalaense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Puumala orthohantavirus (JA3120KTF116),Orthohantavirus puumalaense,species,Orthohantavirus puumalaense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Puumala orthohantavirus (JA3122KTF118),Orthohantavirus puumalaense,species,Orthohantavirus puumalaense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Puumala orthohantavirus (JA4032KTF597),Orthohantavirus puumalaense,species,Orthohantavirus puumalaense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Puumala orthohantavirus (JA4277KTF-637),Orthohantavirus puumalaense,species,Orthohantavirus puumalaense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Puumala orthohantavirus (JA5171KTF862),Orthohantavirus puumalaense,species,Orthohantavirus puumalaense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Puumala orthohantavirus (JA5274KTF935),Orthohantavirus puumalaense,species,Orthohantavirus puumalaense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Puumala orthohantavirus (JA5277KTF945),Orthohantavirus puumalaense,species,Orthohantavirus puumalaense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Puumala orthohantavirus (JA6551KTF153),Orthohantavirus puumalaense,species,Orthohantavirus puumalaense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Puumala orthohantavirus (JA6557KTF159),Orthohantavirus puumalaense,species,Orthohantavirus puumalaense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Puumala orthohantavirus (UA1818B74),Orthohantavirus puumalaense,species,Orthohantavirus puumalaense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Puumala orthohantavirus Hokkaido strain,Orthohantavirus puumalaense,species,Orthohantavirus puumalaense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Puumala virus,Orthohantavirus puumalaense,species,Orthohantavirus puumalaense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Puumala virus/Saaremaa virus,Orthohantavirus,genus,Orthohantavirus puumalaense,Kurkino virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rat hepatitits E virus,Rocahepevirus ratti,species,Rocahepevirus ratti,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rio Mamore Virus,Rio Mamore hantavirus,species,Rio Mamore hantavirus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rio Mamore hantavirus,Rio Mamore hantavirus,species,Rio Mamore hantavirus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rio Mamore virus,Rio Mamore hantavirus,species,Rio Mamore hantavirus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RtAa-HV/SD2016,Orthohantavirus,genus,RtAa-HV/SD2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RtAp-HV/JL2014,Orthohantavirus,genus,RtAp-HV/JL2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RtCe-HV/NX2015,Orthohantavirus,genus,RtCe-HV/NX2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RtCl-HV/GZ2015,Orthohantavirus,genus,RtCl-HV/GZ2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RtDs-AreV/IM2014,Orthohantavirus,genus,RtDs-AreV/IM2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RtDs-HV/IM2014,Orthohantavirus,genus,RtDs-HV/IM2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RtMc-AreV/YN2014,Orthohantavirus,genus,RtMc-AreV/YN2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RtMg-HV/XJ2015,Orthohantavirus,genus,RtMg-HV/XJ2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RtMrut-HV/JL2014,Orthohantavirus,genus,RtMrut-HV/JL2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RtNn-HV/HuN2015,Orthohantavirus,genus,RtNn-HV/HuN2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RtNn-HV/NX2015,Orthohantavirus,genus,RtNn-HV/NX2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RtNn-HV/SAX2015,Orthohantavirus,genus,RtNn-HV/SAX2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RtRf-AreV/YN2014,Orthohantavirus,genus,RtRf-AreV/YN2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RtRl-AreV/HuN2015,Orthohantavirus,genus,RtRl-AreV/HuN2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RtRn-AreV/YN2014,Orthohantavirus,genus,RtRn-AreV/YN2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RtRn-AreV/ZJ2016,Orthohantavirus,genus,RtRn-AreV/ZJ2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RtRn-HV/GD2015,Orthohantavirus,genus,RtRn-HV/GD2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rusne orthohantavirus,Rusne orthohantavirus,species,Rusne orthohantavirus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R√≠o Mamor√© virus,Rio Mamore hantavirus,species,Rio Mamore hantavirus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SAAV,Kurkino virus,species,Kurkino virus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEOV,Orthohantavirus seoulense,species,Orthohantavirus seoulense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEOV (Tchoupitoulas Variant),Orthohantavirus seoulense,species,Orthohantavirus seoulense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEOV/DOBV/PUUV,Orthohantavirus,genus,Orthohantavirus seoulense,Orthohantavirus dobravaense,Orthohantavirus puumalaense,NA,NA,NA,NA,NA,NA,NA,NA
SEOV/HTNV,Orthohantavirus,genus,Orthohantavirus seoulense,Orthohantavirus hantanense,NA,NA,NA,NA,NA,NA,NA,NA,NA
SNV,Orthohantavirus sinnombrense,species,Orthohantavirus sinnombrense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SNV-Antigen,Orthohantavirus sinnombrense,species,Orthohantavirus sinnombrense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SNV/ELMCV/LCV/BCCV/NYV,Orthohantavirus,genus,Orthohantavirus sinnombrense,Orthohantavirus moroense,Limestone Canyon virus,New York hantavirus,NA,NA,NA,NA,NA,NA,NA
SNV/Hantavirus,Orthohantavirus,genus,Orthohantavirus sinnombrense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SNV/MTNV,Orthohantavirus,genus,Orthohantavirus sinnombrense,Orthohantavirus montanoense,NA,NA,NA,NA,NA,NA,NA,NA,NA
SOEV,Orthohantavirus seoulense,species,Orthohantavirus seoulense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWSV,Orthohantavirus seewisense,species,Orthohantavirus seewisense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saaremaa orthohantavirus,Kurkino virus,species,Kurkino virus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sangoussou virus,Orthohantavirus sangassouense,species,Orthohantavirus sangassouense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Seewis Virus,Orthohantavirus seewisense,species,Orthohantavirus seewisense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Seewis orhtohantavirus,Orthohantavirus seewisense,species,Orthohantavirus seewisense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Seewis virus,Orthohantavirus seewisense,species,Orthohantavirus seewisense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Seoul Orthohantavirus,Orthohantavirus seoulense,species,Orthohantavirus seoulense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Seoul Virus (SEOV),Orthohantavirus seoulense,species,Orthohantavirus seoulense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Seoul hantavirus,Orthohantavirus seoulense,species,Orthohantavirus seoulense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Seoul orthohantavirus,Orthohantavirus seoulense,species,Orthohantavirus seoulense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Seoul virus,Orthohantavirus seoulense,species,Orthohantavirus seoulense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Seoul-like,Orthohantavirus,genus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Serang virus,Serang virus,species,Serang virus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shrew-HV/SX2014,Orthohantavirus,genus,Shrew-HV/SX2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shrew-HV/Tibet2014,Orthohantavirus,genus,Shrew-HV/Tibet2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sin Nombre Orthohantavirus,Orthohantavirus sinnombrense,species,Orthohantavirus sinnombrense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sin Nombre Virus,Orthohantavirus sinnombrense,species,Orthohantavirus sinnombrense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sin Nombre hantavirus,Orthohantavirus sinnombrense,species,Orthohantavirus sinnombrense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sin Nombre orthohantavirus,Orthohantavirus sinnombrense,species,Orthohantavirus sinnombrense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sin Nombre virus,Orthohantavirus sinnombrense,species,Orthohantavirus sinnombrense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Songea mammarenavirus,Songea mammarenavirus,species,Songea mammarenavirus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sweetwater Canyon Virus,Orthohantavirus sinnombrense,species,Orthohantavirus sinnombrense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
THAIV,Orthohantavirus thailandense,species,Orthohantavirus thailandense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
THAIV (Thailand Virus),Orthohantavirus thailandense,species,Orthohantavirus thailandense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TPMV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TULV,Orthohantavirus tulaense,species,Orthohantavirus tulaense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tacaribe Serocomplex virus,Mammarenavirus tacaribeense,species,Mammarenavirus tacaribeense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tacaribe Virus,Mammarenavirus tacaribeense,species,Mammarenavirus tacaribeense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tamiami,Mammarenavirus tamiamiense,species,Mammarenavirus tamiamiense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tamiami virus,Mammarenavirus tamiamiense,species,Mammarenavirus tamiamiense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tamiami/Pichinde,Mammarenavirus,genus,Mammarenavirus tamiamiense,Mammarenavirus caliense,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tazar Virus,Orthohantavirus dobravaense,species,Orthohantavirus dobravaense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tchoupitoulas virus,Orthohantavirus seoulense,species,Orthohantavirus seoulense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Thailand hantavirus,Orthohantavirus thailandense,species,Orthohantavirus thailandense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Thailand orthohantavirus,Orthohantavirus thailandense,species,Orthohantavirus thailandense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Thailand orthohantavirus (MDG3887MG9),Orthohantavirus thailandense,species,Orthohantavirus thailandense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Thailand orthohantavirus Anjo strain,Orthohantavirus thailandense,species,Orthohantavirus thailandense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Thottapalayam Virus,Thottimvirus thottapalayamense,species,Thottimvirus thottapalayamense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Thottapalayam virus,Thottimvirus thottapalayamense,species,Thottimvirus thottapalayamense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tigray Orthohantavirus,Orthohantavirus tigrayense,species,Orthohantavirus tigrayense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Topografov Virus,Topografov virus,species,Topografov virus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tula Virus,Orthohantavirus tulaense,species,Orthohantavirus tulaense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tula Virus Antigen,Orthohantavirus tulaense,species,Orthohantavirus tulaense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tula orthohantavirus,Orthohantavirus tulaense,species,Orthohantavirus tulaense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tula orthohantavirus (Moravia strain),Orthohantavirus tulaense,species,Orthohantavirus tulaense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tula orthohantavirus (Thuringia strain),Orthohantavirus tulaense,species,Orthohantavirus tulaense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tula virus,Orthohantavirus tulaense,species,Orthohantavirus tulaense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tunari Virus,Tunari virus,species,Tunari virus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vladivostock virus,Vladivostok virus,species,Vladivostok virus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WENV,Mammarenavirus wenzhouense,species,Mammarenavirus wenzhouense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WWA and AMA,Orthohantavirus,genus,Mammarenavirus whitewaterense,Mammarenavirus amapariense,NA,NA,NA,NA,NA,NA,NA,NA,NA
WWAV,Mammarenavirus whitewaterense,species,Mammarenavirus whitewaterense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WWAV/AMAV,Orthohantavirus,genus,Mammarenavirus whitewaterense,Mammarenavirus amapariense,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wenzhou Virus,Mammarenavirus wenzhouense,species,Mammarenavirus wenzhouense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wenzhou virus,Mammarenavirus wenzhouense,species,Mammarenavirus wenzhouense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Whitewater Arroyo Virus,Mammarenavirus whitewaterense,species,Mammarenavirus whitewaterense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Whitewater Arroyo Virus/Amapari Virus,Orthohantavirus,genus,Mammarenavirus whitewaterense,Mammarenavirus amapariense,NA,NA,NA,NA,NA,NA,NA,NA,NA
Whitewater Arroyo mammarenavirus,Mammarenavirus whitewaterense,species,Mammarenavirus whitewaterense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Whitewater Arroyo virus,Mammarenavirus whitewaterense,species,Mammarenavirus whitewaterense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Whitewater arroyo Virus (WWA),Mammarenavirus whitewaterense,species,Mammarenavirus whitewaterense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Xapuri virus,Mammarenavirus xapuriense,species,Mammarenavirus xapuriense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Yersinia pestis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mammarenavirus,Mammarenavirus,genus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rickettsia spp.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
